Fid,Datesk,Item_Name,Departure_Date,From_Source,To_Destination,Logistics_Name,Temp,Oxygen,Carbon_Dioxide,ethylene,damage_due_to_vibration,Humidity,Label
10.42.0.211-10.42.0.1-21786-53-17,20210101,Mosambi,01-01-21,Ballari,Bhusawal,Max Move,27.2,50.49,4.13,4.85,No,51,0
175.100.207.206-10.42.0.211-80-35569-6,20210101,Sweet corn,01-01-21,Bengaluru,Bid,National Transportation Logistics,25.5,60.17,5.39,5.58,Yes,53,1
172.217.12.170-10.42.0.151-443-57331-6,20210101,Sweet corn cleaned,01-01-21,Belagavi,Buldhana,New Motion Shipper,26.5,53.61,4.11,7.9,Yes,48,1
10.42.0.211-10.42.0.1-1386-53-17,20210101,Sweet corn seeds spok,01-01-21,Bhadravati,Chandrapur,Omni Logistics,28.7,40.91,4.28,9.45,No,39,0
10.42.0.211-14.29.93.243-53154-80-6,20210101,Batani kalu,01-01-21,Bidar,Daulatabad,Pack ‘n’ Send,29.6,45.69,3.67,5.61,No,36,0
192.229.163.180-10.42.0.211-443-51129-6,20210101,BaleDindu (Banana stem),01-01-21,Chikkamagaluru,Dhule,Parcel Logistics,34.5,34.94,6.42,8.24,No,20,0
10.42.0.211-10.42.0.1-1520-53-17,20210101,Basale Greens,01-01-21,Chitradurga,Jalgaon,Blue Grace Logistics,18.7,37.95,3.1,4.34,Yes,66,1
10.42.0.211-104.192.110.245-38709-443-6,20210101,Letteus Greens,01-01-21,Davangere,Kalyan,Brisk Shipping,17.4,54.78,2.72,3.58,Yes,50,1
10.42.0.211-10.42.0.1-33793-53-17,20210101,Onion flowers,01-01-21,Halebid,Karli,Check Logistics,16.7,45.44,5.34,5.45,Yes,45,1
172.217.12.170-10.42.0.211-443-38508-6,20210101,Chain Berry,01-01-21,Hassan,Kolhapur,Circle Logistics,17,52.87,25.36,9.55,Yes,58,1
172.217.12.170-10.42.0.211-443-47464-6,20210101,Y.Bananan T.N.,01-01-21,Hubballi-Dharwad,Mahabaleshwar,Clipper America Inc.,18,45.65,46.24,20.89,Yes,41,1
10.42.0.211-54.192.37.39-50896-443-6,20210101,Maize,01-01-21,Kalaburagi,Malegaon,DeGroot Logistics,18.3,46.77,22.14,17.5,No,37,0
175.100.207.231-10.42.0.211-80-55913-6,20210101,Byladha Hannu,01-01-21,Kolar,Kohima,Edge Logistics,19.2,50.57,22.25,18.03,Yes,50,1
10.42.0.151-10.42.0.1-62491-53-17,20210101,Net rich 5 lt oil,01-01-21,Madikeri,Mon,Express Lane Transportation,21.4,46.68,25.38,15.78,No,43,0
10.42.0.151-111.221.77.173-43477-40010-17,20210101,Mineral water 1 lt,01-01-21,Mandya,Phek,Flare Logistics Trucking Inc.,18,41.58,45.61,24.12,No,46,0
203.205.191.23-10.42.0.211-80-39636-6,20210101,Chikkadikai Round,01-01-21,Alappuzha,Wokha,Forward Air,22.1,35.38,27.3,18.61,No,44,0
206.126.112.142-10.42.0.151-443-41347-6,20210101,Indian kinora apple,01-01-21,Vatakara,Zunheboto,Fresh Logistic,21,43.79,23.83,29.14,Yes,53,1
183.79.87.214-10.42.0.211-80-47894-6,20210101,South Africa Gala apple,01-01-21,Idukki,Balangir,Go Movers,21.5,53.44,17.93,24.09,No,45,0
172.217.9.237-10.42.0.151-443-50294-6,20210101,Selari,01-01-21,Kannur,Baleshwar,Horizon Moving & Logistics,19.3,17.94,6.4,14.23,Yes,63,1
10.42.0.211-31.13.80.12-48251-443-6,20210101,Leeks,01-01-21,Kochi,Baripada,Hub Group Trucking,20.9,38.54,5.86,13.67,No,49,0
157.240.18.10-10.42.0.151-443-45229-6,20210101,Parsley,01-01-21,Kollam,Bhubaneshwar,In Switch,20.7,39.77,4.99,8.68,Yes,48,1
10.42.0.1-10.42.0.42-53-22261-17,20210101,Litchi ,01-01-21,Kottayam,Brahmapur,Flare Logistics Trucking Inc.,18.7,39.66,3.88,5.76,No,54,0
192.229.173.173-10.42.0.211-443-46006-6,20210101,Apple ,01-01-21,Kozhikode,Cuttack,Forward Air,15,59.03,6.52,9.94,Yes,49,1
10.42.0.42-119.146.74.34-33080-80-6,20210101,G. nut oil Rice 1 lt,01-01-21,Mattancheri,Dhenkanal,Fresh Logistic,20.7,46.61,3.8,7.54,Yes,43,1
198.11.132.221-10.42.0.211-443-58028-6,20210101,G. nut oil safal deep1 lt,01-01-21,Palakkad,Kendujhar,Go Movers,20,27.14,5.24,9.49,No,53,0
180.76.147.97-10.42.0.211-80-33252-6,20210101,G. nut Golden oil 1 lt,01-01-21,Thalassery,Konark,Horizon Moving & Logistics,22.2,21.76,4.17,4.47,Yes,44,1
192.229.173.173-10.42.0.211-80-42632-6,20210101,G. nut sungold 1 lt,01-01-21,Thiruvananthapuram,Koraput,Hub Group Trucking,17.3,4.72,5.63,5.2,No,53,0
10.42.0.151-10.42.0.1-23075-53-17,20210101,Rice Bran 15 lt Tin,01-01-21,Balaghat,Paradip,In Switch,18,37.11,3.92,3.88,No,53,0
10.42.0.211-10.42.0.1-55597-53-17,20210101,Pickles,01-01-21,Barwani,Phulabani,King Courier,23,35.66,4.23,6.05,Yes,58,1
157.55.130.155-10.42.0.42-40008-46360-17,20210101,Lime Pickles,01-01-21,Betul,Puri,Lynden Transport,15.6,29.77,5.65,11.25,Yes,57,1
172.217.10.74-10.42.0.42-443-44597-6,20210101,mango Pickles,01-01-21,Bharhut,Sambalpur,Max Move,13.9,27.34,15.82,17.22,No,60,0
172.217.10.34-10.42.0.211-443-35717-6,20210101,Pickles mixed veg,01-01-21,Bhind,Udayagiri,National Transportation Logistics,12.6,35.89,3.3,7.58,Yes,52,1
172.217.10.46-10.42.0.151-80-40835-6,20210101,Avarebele (F. Beans spok),01-01-21,Bhojpur,Amritsar,New Motion Shipper,13.3,7,5.9,0,No,58,0
10.42.0.151-10.42.0.1-50568-53-17,20210101,Avare seed (FB seeds),01-01-21,Bhopal,Batala,Omni Logistics,17.6,19.54,3.52,0,Yes,54,1
10.42.0.211-47.89.67.224-34715-80-6,20210101,Brucoli,01-01-21,Burhanpur,Chandigarh,Pack ‘n’ Send,18.6,31.3,5.28,0,No,49,0
10.42.0.211-10.42.0.1-27847-53-17,20210101,Mushroom Oyster,01-01-21,Chhatarpur,Faridkot,Parcel Logistics,20.1,31.23,3.89,0,Yes,51,1
182.22.120.247-10.42.0.42-443-57662-6,20210101,Onion medium,01-01-21,Chhindwara,Firozpur,Blue Grace Logistics,21.5,43.92,5.74,2.15,No,57,0
10.42.0.211-14.204.144.144-38591-80-6,20210101,Onion Big,01-01-21,Damoh,Gurdaspur,Brisk Shipping,22.2,41.64,18.01,1.21,No,52,0
10.42.0.211-23.208.168.108-49627-443-6,20210101,Jack fruit,01-01-21,Datia,Hoshiarpur,Check Logistics,19,37.66,30.8,0.66,No,82,0
180.76.147.97-10.42.0.211-80-54508-6,20210101,Indian Black globe Grapes,01-01-21,Dewas,Jalandhar,Circle Logistics,19.9,48.49,19.91,1.67,No,82,0
10.42.0.151-13.32.251.254-35865-443-6,20210101,Papaya red indian,01-01-21,Dhar,Kapurthala,Clipper America Inc.,12.7,31.34,4.3,0.05,No,62,0
10.42.0.211-10.42.0.1-33680-53-17,20210101,Mango,01-01-21,Dr. Ambedkar Nagar (Mhow),Ludhiana,In Switch,12.2,28.71,6.99,0.2,Yes,78,1
172.217.12.133-10.42.0.42-443-53440-6,20210101,Mango Badami,01-01-21,Guna,Nabha,King Courier,12.1,28.39,16.73,1.38,Yes,78,1
10.42.0.211-77.234.44.79-38642-443-6,20210101,Mango Alphans,01-01-21,Gwalior,Patiala,Lynden Transport,14.7,34.16,6.3,0.21,No,76,0
10.42.0.151-104.254.66.16-40573-80-6,20210101,Onion small(Economy),01-01-21,Maheshwar,Rupnagar,Max Move,14.7,43.62,3.44,0,No,56,0
172.217.6.202-10.42.0.42-443-53633-6,20210101,Mango Raspuri,01-01-21,Mandla,Sangrur,National Transportation Logistics,17.4,60.71,3.35,0,No,50,0
10.42.0.211-72.21.206.141-59717-443-6,20210101,Onion samber,01-01-21,Mandsaur,Abu,New Motion Shipper,18.8,22.8,5.7,0.05,Yes,47,1
10.42.0.42-119.146.74.34-37722-80-6,20210101,Peas local,01-01-21,Morena,Ajmer,Omni Logistics,18.1,22.18,4.55,0.06,Yes,56,1
192.229.173.173-10.42.0.211-80-39995-6,20210101,Peas Delhi,01-01-21,Murwara,Alwar,Pack ‘n’ Send,18.8,10.12,5.29,0.09,Yes,63,1
10.42.0.1-10.42.0.42-53-62311-17,20210101,Berry fruit Ooty,01-01-21,Narsimhapur,Amer,Parcel Logistics,15.4,59.73,3.11,0,Yes,62,1
8.0.6.4-8.6.0.1-0-0-0,20210101,Berry Soft,01-01-21,Narsinghgarh,Barmer,Blue Grace Logistics,18.3,26.89,3.88,0.02,Yes,69,1
10.42.0.211-123.125.115.164-54410-443-6,20210101,Berry Delhi,01-01-21,Narwar,Beawar,Brisk Shipping,16.2,27.18,5.05,0.01,No,87,0
10.42.0.211-104.88.89.135-34552-443-6,20210101,Ber fruit/Bore fruit,01-01-21,Neemuch,Bharatpur,Check Logistics,16.5,18.67,5.69,0,Yes,63,1
203.205.147.229-10.42.0.42-80-54472-6,20210101,Cherry fruit,01-01-21,Nowgong,Bhilwara,Circle Logistics,14,11.83,4.67,0.01,No,60,0
172.217.10.74-10.42.0.151-443-57211-6,20210101,Cherry kashmir,01-01-21,Orchha,Bikaner,Clipper America Inc.,16,36.71,15.69,0.22,No,60,0
8.0.6.4-8.6.0.1-0-0-0,20210101,Cashew nut,01-01-21,Panna,Bundi,DeGroot Logistics,17.2,81.6,13.12,0.3,No,57,0
10.42.0.211-31.13.71.7-49081-443-6,20210101,Dates,01-01-21,Raisen,Chittaurgarh,Edge Logistics,17.1,90.54,2.69,0.47,Yes,61,1
1.31.173.114-10.42.0.151-80-41267-6,20210101,Dry dates,01-01-21,Rajgarh,Churu,Express Lane Transportation,16.6,69.57,2.73,0.28,No,59,0
10.42.0.151-66.102.255.61-46394-443-6,20210101,Dates seedless,01-01-21,Ratlam,Dhaulpur,Flare Logistics Trucking Inc.,18.4,32.26,3.14,0.17,Yes,59,1
10.42.0.151-104.244.43.131-57198-443-6,20210101,Dry apricot,01-01-21,Rewa,Dungarpur,Forward Air,19,31.44,6.24,0,No,92,0
5.61.39.3-10.42.0.42-80-38286-6,20210101,Badami,01-01-21,Sagar,Ganganagar,Fresh Logistic,13.9,25.7,8,0,Yes,60,1
10.42.0.1-10.42.0.42-53-7085-17,20210101,Dry fruit mixed,01-01-21,Sarangpur,Hanumangarh,Go Movers,12.9,25.9,9.94,0,No,72,0
10.42.0.151-23.208.168.108-34119-443-6,20210101,Jambo fruit(Nerale),01-01-21,Ahmadnagar,Jaipur,Horizon Moving & Logistics,13.8,18.89,10.68,0,Yes,58,1
172.217.9.238-10.42.0.151-443-36149-6,20210101,Bottle Gourd,01-01-21,Akola,Jaisalmer,Hub Group Trucking,13.3,18.2,11.44,0.01,Yes,55,1
10.42.0.211-121.12.98.63-46626-80-6,20210101,Chow-Chow,01-01-21,Amravati,Jalor,In Switch,13.8,22.35,12.3,0,No,60,0
172.217.10.225-10.42.0.211-443-59051-6,20210101,Cucumber,01-01-21,Aurangabad,Jhalawar,King Courier,15.1,22.84,20.42,4.9,Yes,67,1
172.217.10.106-10.42.0.151-443-49931-6,20210101,Cucumber Nati,01-01-21,Bhandara,Jhunjhunu,Lynden Transport,16.4,16.26,5.31,10.6,No,59,0
180.149.136.194-10.42.0.211-443-60201-6,20210101,Cucumber Israle,01-01-21,Bhusawal,Jodhpur,Max Move,18,25.4,14.28,16.9,No,75,0
182.22.24.124-10.42.0.211-443-33029-6,20210101,Cucumber Ooty,01-01-21,Bid,Kishangarh,National Transportation Logistics,15.4,34.42,21.23,20.53,Yes,88,1
172.217.6.206-10.42.0.151-443-45028-6,20210101,Mangalore cucumber,01-01-21,Buldhana,Kota,New Motion Shipper,16.1,38.83,7.56,4.92,Yes,65,1
173.222.142.156-10.42.0.211-443-55024-6,20210101,Cluster Bean Local,01-01-21,Chandrapur,Merta,Omni Logistics,16.2,29.05,7.14,5.05,No,68,0
10.42.0.211-10.42.0.1-23634-53-17,20210101,Capsicum,01-01-21,Daulatabad,Nagaur,Pack ‘n’ Send,20.5,21.58,8.05,5.23,Yes,44,1
10.42.0.151-52.192.237.93-60548-443-6,20210101,Mango Sendura,01-01-21,Dhule,Nathdwara,Parcel Logistics,9.6,25.5,10.44,0,No,65,0
192.229.173.173-10.42.0.42-80-43053-6,20210101,Mango Bygan palli,01-01-21,Jalgaon,Pali,Blue Grace Logistics,12.6,12.91,9.46,0.41,Yes,59,1
202.77.129.150-10.42.0.42-80-36065-6,20210101,Mango malagova,01-01-21,Kalyan,Phalodi,Brisk Shipping,12.4,35.61,10.89,12.62,No,73,0
157.240.2.20-10.42.0.42-443-46650-6,20210101,Mango mallika,01-01-21,Karli,Pushkar,Check Logistics,18,12.47,2.18,3,Yes,54,1
10.42.0.211-10.42.0.1-33059-53-17,20210101,Mango thotapuri,01-01-21,Kolhapur,Sawai Madhopur,Circle Logistics,14.1,10.74,2.96,3.41,No,58,0
10.42.0.151-10.42.0.1-1434-53-17,20210101,Mango kalapadu,01-01-21,Mahabaleshwar,Shahpura,Clipper America Inc.,12.2,16.01,4.12,3.72,No,68,0
202.77.129.54-10.42.0.211-80-57541-6,20210101,Mango Neelam,01-01-21,Malegaon,Sikar,DeGroot Logistics,11.2,45.64,4.23,2.39,No,73,0
174.35.73.78-10.42.0.211-80-34812-6,20210101,Mango Dasheri,01-01-21,Kohima,Sirohi,Edge Logistics,12.9,71.85,4.26,2.5,No,68,0
10.42.0.211-31.13.80.5-57876-443-6,20210101,Mango Langada,01-01-21,Mon,Gangtok,Express Lane Transportation,14.9,41.19,5.27,3.03,No,74,0
172.217.12.195-10.42.0.42-443-43072-6,20210101,Mango Kesar,01-01-21,Phek,Gyalshing,Flare Logistics Trucking Inc.,13.3,12.88,13.71,6.32,Yes,83,1
172.217.10.8-10.42.0.211-443-32989-6,20210101,Mango Amarpalli,01-01-21,Wokha,Lachung,Forward Air,9.5,16.67,6.67,4.79,Yes,77,1
10.42.0.151-104.244.42.2-33823-443-6,20210101,Mango rathnagiri(red),01-01-21,Zunheboto,Mangan,Fresh Logistic,7.6,25.51,5.6,2.64,No,82,0
172.217.10.131-10.42.0.42-443-46328-6,20210101,Mango Alphans box,01-01-21,Balangir,Arcot,Go Movers,10.1,9.56,7.02,3.74,No,83,0
10.42.0.151-10.42.0.1-34290-53-17,20210101,Mango sakkaregutti,01-01-21,Baleshwar,Chengalpattu,Horizon Moving & Logistics,8.2,6.32,7.25,2.73,No,62,0
162.208.22.39-10.42.0.211-443-45091-6,20210101,Orange,01-01-21,Baripada,Chennai,Hub Group Trucking,7.9,15.27,6.36,0.82,Yes,70,1
10.42.0.211-10.42.0.1-32862-53-17,20210101,Orange Nagpura,01-01-21,Bhubaneshwar,Chidambaram,In Switch,7.2,38.52,6.01,0,Yes,77,1
172.217.10.78-10.42.0.151-443-48810-6,20210101,Orange Ooty,01-01-21,Brahmapur,Coimbatore,King Courier,10.1,48.22,8.05,0,Yes,81,1
10.42.0.211-10.42.0.1-8169-53-17,20210101,Orange Australia,01-01-21,Cuttack,Cuddalore,Lynden Transport,10.6,44.78,6.59,0,Yes,75,1
10.42.0.151-10.42.0.1-24343-53-17,20210101,Tomoto,01-01-21,Dhenkanal,Dharmapuri,Max Move,9.6,32.65,6.86,0,Yes,86,1
172.217.3.106-10.42.0.211-443-51428-6,20210101,Thogari kai,01-01-21,Kendujhar,Dindigul,National Transportation Logistics,10.3,8.07,7.76,0,No,71,0
202.77.129.185-10.42.0.211-80-46571-6,20210101,Mango Raw Amblet,01-01-21,Konark,Erode,New Motion Shipper,10,6.69,7.41,2.5,Yes,82,1
10.42.0.151-65.55.223.45-43477-40024-17,20210101,Mango Raw,01-01-21,Koraput,Kanchipuram,Omni Logistics,8.3,3.82,8.56,5.09,No,86,0
10.42.0.211-10.42.0.1-52343-53-17,20210101,Capsicum 1,01-01-21,Paradip,Kanniyakumari,Pack ‘n’ Send,11,5.17,8.21,3.63,No,68,0
10.42.0.151-115.239.210.141-53923-80-6,20210101,Capsicum Red/Yellow,01-01-21,Phulabani,Kodaikanal,Parcel Logistics,9.4,7.56,8.26,3.59,No,78,0
10.42.0.211-10.42.0.1-23875-53-17,20210101,Chillies Green,01-01-21,Puri,Kumbakonam,Blue Grace Logistics,11.7,2.94,9.63,3.67,Yes,69,1
8.0.6.4-8.6.0.1-0-0-0,20210101,Chillies Bajji,01-01-21,Sambalpur,Madurai,Brisk Shipping,8.5,4.63,8.67,2.85,No,89,0
